state,county,d_date,total
texas,newton,2020-05-02 00:00:00 +0000 UTC,2
colorado,custer,2020-05-02 00:00:00 +0000 UTC,2
texas,lee,2020-05-02 00:00:00 +0000 UTC,2
nebraska,otoe,2020-05-02 00:00:00 +0000 UTC,2
washington,pend oreille,2020-05-02 00:00:00 +0000 UTC,2
new hampshire,coos,2020-05-02 00:00:00 +0000 UTC,2
florida,franklin,2020-05-02 00:00:00 +0000 UTC,2
oklahoma,grant,2020-05-02 00:00:00 +0000 UTC,2
kansas,osborne,2020-05-02 00:00:00 +0000 UTC,2
arkansas,prairie,2020-05-02 00:00:00 +0000 UTC,2
virginia,unknown,2020-05-02 00:00:00 +0000 UTC,2
maine,washington,2020-05-02 00:00:00 +0000 UTC,2
new mexico,lincoln,2020-05-02 00:00:00 +0000 UTC,2
oklahoma,tillman,2020-05-02 00:00:00 +0000 UTC,2
washington,wahkiakum,2020-05-02 00:00:00 +0000 UTC,2
iowa,clarke,2020-05-02 00:00:00 +0000 UTC,2
wisconsin,florence,2020-05-02 00:00:00 +0000 UTC,2
illinois,gallatin,2020-05-02 00:00:00 +0000 UTC,2
kentucky,letcher,2020-05-02 00:00:00 +0000 UTC,2
oklahoma,mcintosh,2020-05-02 00:00:00 +0000 UTC,2
arkansas,franklin,2020-05-02 00:00:00 +0000 UTC,2
oklahoma,jefferson,2020-05-02 00:00:00 +0000 UTC,2
missouri,phelps,2020-05-02 00:00:00 +0000 UTC,2
wisconsin,waushara,2020-05-02 00:00:00 +0000 UTC,2
iowa,winnebago,2020-05-02 00:00:00 +0000 UTC,2
texas,callahan,2020-05-02 00:00:00 +0000 UTC,2
texas,crosby,2020-05-02 00:00:00 +0000 UTC,2
missouri,dallas,2020-05-02 00:00:00 +0000 UTC,2
oklahoma,dewey,2020-05-02 00:00:00 +0000 UTC,2
missouri,howard,2020-05-02 00:00:00 +0000 UTC,2
oklahoma,marshall,2020-05-02 00:00:00 +0000 UTC,2
ohio,meigs,2020-05-02 00:00:00 +0000 UTC,2
missouri,oregon,2020-05-02 00:00:00 +0000 UTC,2
idaho,power,2020-05-02 00:00:00 +0000 UTC,2
minnesota,swift,2020-05-02 00:00:00 +0000 UTC,2
west virginia,braxton,2020-05-02 00:00:00 +0000 UTC,2
vermont,essex,2020-05-02 00:00:00 +0000 UTC,2
florida,lafayette,2020-05-02 00:00:00 +0000 UTC,2
texas,madison,2020-05-02 00:00:00 +0000 UTC,2
texas,scurry,2020-05-02 00:00:00 +0000 UTC,2
missouri,st. clair,2020-05-02 00:00:00 +0000 UTC,2
oklahoma,murray,2020-05-02 00:00:00 +0000 UTC,2
texas,rains,2020-05-02 00:00:00 +0000 UTC,2
kentucky,fleming,2020-05-02 00:00:00 +0000 UTC,2
missouri,iron,2020-05-02 00:00:00 +0000 UTC,2
michigan,lake,2020-05-02 00:00:00 +0000 UTC,2
georgia,montgomery,2020-05-02 00:00:00 +0000 UTC,2
alaska,prince of wales-hyder census area,2020-05-02 00:00:00 +0000 UTC,2
kentucky,rowan,2020-05-02 00:00:00 +0000 UTC,2
louisiana,tensas,2020-05-02 00:00:00 +0000 UTC,2
wyoming,big horn,2020-05-02 00:00:00 +0000 UTC,2
west virginia,mingo,2020-05-02 00:00:00 +0000 UTC,2
kentucky,owsley,2020-05-02 00:00:00 +0000 UTC,2
indiana,pike,2020-05-02 00:00:00 +0000 UTC,2
tennessee,van buren,2020-05-02 00:00:00 +0000 UTC,2
texas,armstrong,2020-05-02 00:00:00 +0000 UTC,2
illinois,clay,2020-05-02 00:00:00 +0000 UTC,2
kansas,dickinson,2020-05-02 00:00:00 +0000 UTC,2
kentucky,garrard,2020-05-02 00:00:00 +0000 UTC,2
west virginia,lincoln,2020-05-02 00:00:00 +0000 UTC,2
missouri,miller,2020-05-02 00:00:00 +0000 UTC,2
